F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0    34     2  0  80   0 -     0 kswapd ?        00:00:00 kswapd0
1 I     0    35     2  0  60 -20 -     0 worker ?        00:00:00 kworker/u3:0
1 S     0    36     2  0  80   0 -     0 ecrypt ?        00:00:00 ecryptfs-kthrea
1 I     0    78     2  0  60 -20 -     0 rescue ?        00:00:00 kthrotld
1 I     0    79     2  0  60 -20 -     0 rescue ?        00:00:00 acpi_thermal_pm
1 S     0    80     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_0
1 I     0    81     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_0
1 S     0    82     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_1
1 I     0    83     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_1
1 I     0    84     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:2
1 I     0    85     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:3
1 I     0    89     2  0  60 -20 -     0 rescue ?        00:00:00 ipv6_addrconf
1 I     0    98     2  0  60 -20 -     0 rescue ?        00:00:00 kstrp
1 I     0   115     2  0  60 -20 -     0 rescue ?        00:00:00 charger_manager
1 I     0   157     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
1 I     0   167     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:3
1 S     0   205     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_2
1 I     0   206     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_2
1 I     0   208     2  0  60 -20 -     0 rescue ?        00:00:00 ttm_swap
1 S     0   209     2  0   9   - -     0 irq_th ?        00:00:00 irq/18-vmwgfx
1 I     0   212     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:1H
1 I     0   281     2  0  60 -20 -     0 rescue ?        00:00:00 raid5wq
1 S     0   341     2  0  80   0 -     0 kjourn ?        00:00:00 jbd2/sda2-8
1 I     0   342     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 I     0   411     2  0  60 -20 -     0 rescue ?        00:00:00 iscsi_eh
4 S     0   414     1  0  79  -1 - 23716 ep_pol ?        00:00:00 systemd-journal
4 S     0   418     1  0  80   0 - 24427 poll_s ?        00:00:00 lvmetad
1 I     0   422     2  0  60 -20 -     0 rescue ?        00:00:00 ib-comp-wq
1 I     0   423     2  0  60 -20 -     0 rescue ?        00:00:00 ib-comp-unb-wq
1 I     0   424     2  0  60 -20 -     0 rescue ?        00:00:00 ib_mcast
1 I     0   425     2  0  60 -20 -     0 rescue ?        00:00:00 ib_nl_sa_wq
4 S     0   427     1  0  80   0 - 11452 ep_pol ?        00:00:00 systemd-udevd
1 I     0   434     2  0  60 -20 -     0 rescue ?        00:00:00 rdma_cm
1 S     0   455     2  0  60 -20 -     0 kthrea ?        00:00:00 loop0
1 S     0   456     2  0  60 -20 -     0 kthrea ?        00:00:00 loop1
1 I     0   477     2  0  60 -20 -     0 rescue ?        00:00:00 iprt-VBoxWQueue
1 D     0   622     2  0  80   0 -     0 wait_o ?        00:00:00 jbd2/sda5-8
1 I     0   623     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 S     0   626     2  0  80   0 -     0 kjourn ?        00:00:00 jbd2/sda3-8
1 I     0   627     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
4 S 62583   640     1  0  80   0 - 35484 ep_pol ?        00:00:00 systemd-timesyn
4 S   100   759     1  0  80   0 - 20015 ep_pol ?        00:00:00 systemd-network
4 S   101   781     1  0  80   0 - 17660 ep_pol ?        00:00:00 systemd-resolve
4 S   103   851     1  0  80   0 - 12510 ep_pol ?        00:00:00 dbus-daemon
4 S     0   853     1  0  80   0 - 23885 futex_ ?        00:00:00 lxcfs
4 S     0   873     1  0  80   0 - 42597 poll_s ?        00:00:00 networkd-dispat
4 S     0   874     1  0  80   0 - 71884 poll_s ?        00:00:00 accounts-daemon
4 S     1   876     1  0  80   0 -  7083 hrtime ?        00:00:00 atd
4 S     0   885     1  0  80   0 - 17670 ep_pol ?        00:00:00 systemd-logind
4 S     0   892     1  1  80   0 - 140297 futex_ ?       00:00:00 snapd
4 S     0   893     1  0  80   0 -  7830 hrtime ?        00:00:00 cron
4 S   102   895     1  0  80   0 - 65759 poll_s ?        00:00:00 rsyslogd
4 S     0   912     1  0  80   0 - 19691 wait   tty1     00:00:00 login
4 S     0   918     1  0  80   0 - 46811 poll_s ?        00:00:00 unattended-upgr
4 S     0   919     1  0  80   0 - 72221 poll_s ?        00:00:00 polkitd
4 S  1000  1265     1  0  80   0 - 19201 ep_pol ?        00:00:00 systemd
5 S  1000  1274  1265  0  80   0 - 27960 sigtim ?        00:00:00 (sd-pam)
4 S  1000  1286   912  0  80   0 -  5690 wait   tty1     00:00:00 bash
4 S     0  1303  1286  0  80   0 - 15938 poll_s tty1     00:00:00 sudo
4 R     0  1305  1303  0  80   0 -  7228 -      tty1     00:00:00 ps
